t,v,e13,T
293,1.6081,2.7821,53.7
294,1.5813,2.7553,53.194339622641515
295,1.5539,2.7279,52.67735849056604
296,1.5749,2.7489,53.07358490566038
297,1.5892,2.7632,53.343396226415095
298,1.5338,2.7077999999999998,52.29811320754717
299,1.5302,2.7042,52.23018867924529
300,1.6078,2.7817999999999996,53.69433962264151
301,1.5575,2.7315,52.74528301886793
302,1.6096,2.7836,53.72830188679246
303,1.59,2.7640000000000002,53.358490566037744
304,1.5832,2.7572,53.23018867924529
305,1.6207,2.7946999999999997,53.93773584905661
306,1.6461,2.8201,54.41698113207548
307,1.5774,2.7514,53.12075471698114
308,1.5692,2.7432,52.966037735849056
309,1.6058,2.7798,53.65660377358491
310,1.5816,2.7556,53.2
311,1.6649,2.8388999999999998,54.77169811320755
312,1.5263,2.7003,52.15660377358491
313,1.5043,2.6783,51.74150943396227
314,1.6434,2.8174,54.36603773584907
315,1.5508,2.7248,52.61886792452831
316,1.59,2.7640000000000002,53.358490566037744
317,1.6061,2.7801,53.6622641509434
318,1.581,2.755,53.188679245283026
319,1.5879,2.7619,53.318867924528305
320,1.5995,2.7735,53.53773584905661
321,1.6205,2.7945,53.933962264150956
322,1.6167,2.7907,53.8622641509434
323,1.6177,2.7916999999999996,53.8811320754717
324,1.6407,2.8147,54.315094339622654
325,1.5543,2.7283,52.68490566037736
326,1.603,2.777,53.60377358490567
327,1.5085,2.6825,51.82075471698114
328,1.5334,2.7074,52.29056603773585
329,1.5901,2.7641,53.360377358490574
330,1.557,2.731,52.735849056603776
331,1.5419,2.7159,52.45094339622642
332,1.5275,2.7015000000000002,52.17924528301888
333,1.5728,2.7468,53.03396226415095
334,1.5579,2.7319,52.752830188679255
335,1.5576,2.7316000000000003,52.74716981132077
336,1.5382,2.7122,52.381132075471704
337,1.6109,2.7849,53.752830188679255
338,1.5903,2.7643,53.36415094339623
339,1.6258,2.7998,54.03396226415095
340,1.6329,2.8068999999999997,54.16792452830189
341,1.5751,2.7491,53.07735849056604
342,1.6513,2.8253,54.51509433962265
343,1.5838,2.7578,53.24150943396227
344,1.5787,2.7527,53.14528301886793
345,1.5979,2.7719,53.50754716981133
346,1.563,2.737,52.84905660377359
347,1.6069,2.7809,53.67735849056604
348,1.5697,2.7437,52.97547169811321
349,1.607,2.7809999999999997,53.67924528301887
350,1.518,2.692,52.00000000000001
351,1.5704,2.7443999999999997,52.98867924528302
352,1.5584,2.7324,52.76226415094341
353,1.5736,2.7476000000000003,53.04905660377359
354,1.5496,2.7236000000000002,52.59622641509435
355,1.5654,2.7394,52.89433962264151
356,1.5728,2.7468,53.03396226415095
357,1.5866,2.7606,53.294339622641516
358,1.5858,2.7598000000000003,53.27924528301888
359,1.5255,2.6995,52.14150943396227
360,1.669,2.843,54.84905660377359
361,1.563,2.737,52.84905660377359
362,1.583,2.7569999999999997,53.22641509433962
363,1.5791,2.7531,53.152830188679246
364,1.5933,2.7672999999999996,53.420754716981136
365,1.5519,2.7259,52.63962264150945
366,1.5474,2.7214,52.55471698113208
367,1.7224,2.8964,55.856603773584915
368,1.6349,2.8089,54.2056603773585
369,1.5624,2.7363999999999997,52.83773584905661
370,1.5965,2.7705,53.481132075471706
371,1.5979,2.7719,53.50754716981133
372,1.6142,2.7882,53.81509433962265
373,1.5348,2.7088,52.316981132075476
374,1.537,2.711,52.35849056603774
375,1.6017,2.7756999999999996,53.579245283018864
376,1.5694,2.7434,52.96981132075472
377,1.5767,2.7507,53.107547169811326
378,1.525,2.699,52.132075471698116
379,1.6147,2.7887,53.8245283018868
380,1.6046,2.7786,53.63396226415095
381,1.5495,2.7235,52.59433962264151
382,1.6218,2.7958,53.95849056603774
383,1.5978,2.7718,53.505660377358495
384,1.6342,2.8082000000000003,54.19245283018869
385,1.5656,2.7396000000000003,52.89811320754718
386,1.5934,2.7674,53.422641509433966
387,1.5652,2.7392,52.89056603773585
388,1.5554,2.7294,52.7056603773585
389,1.6171,2.7911,53.86981132075473
390,1.5058,2.6798,51.76981132075473
391,1.5347,2.7087,52.31509433962265
392,1.5374,2.7114000000000003,52.36603773584907
393,1.5733,2.7473,53.043396226415105
394,1.5559,2.7298999999999998,52.715094339622645
395,1.5898,2.7638,53.35471698113208
396,1.5137,2.6877,51.91886792452831
397,1.5765,2.7504999999999997,53.10377358490566
398,1.536,2.71,52.339622641509436
399,1.6306,2.8045999999999998,54.1245283018868
400,1.4838,2.6578,51.35471698113208
401,1.6094,2.7834,53.7245283018868
402,1.6137,2.7877,53.8056603773585
403,1.6265,2.8005,54.047169811320764
404,1.5354,2.7094,52.32830188679246
405,1.5938,2.7678000000000003,53.4301886792453
406,1.6475,2.8215,54.4433962264151
407,1.6445,2.8185000000000002,54.3867924528302
408,1.6121,2.7861000000000002,53.77547169811322
409,1.5469,2.7209,52.54528301886793
410,1.5626,2.7366,52.84150943396227
411,1.5337,2.7077,52.296226415094345
412,1.5688,2.7428,52.95849056603774
413,1.602,2.776,53.58490566037736
414,1.6213,2.7953,53.94905660377359
415,1.5849,2.7588999999999997,53.262264150943395
416,1.6003,2.7743,53.55283018867926
417,1.558,2.732,52.754716981132084
418,1.5417,2.7157,52.44716981132076
419,1.5694,2.7434,52.96981132075472
420,1.585,2.759,53.26415094339623
421,1.5639,2.7379,52.86603773584906
422,1.5725,2.7465,53.02830188679246
423,1.624,2.798,54.00000000000001
424,1.613,2.787,53.79245283018869
425,1.6167,2.7907,53.8622641509434
426,1.6159,2.7899,53.84716981132076
427,1.5948,2.7687999999999997,53.449056603773585
428,1.604,2.778,53.62264150943397
429,1.564,2.738,52.86792452830189
430,1.5997,2.7737,53.54150943396227
431,1.5565,2.7305,52.72641509433963
432,1.6342,2.8082000000000003,54.19245283018869
433,1.5617,2.7357,52.8245283018868
434,1.5683,2.7423,52.94905660377359
435,1.5602,2.7342,52.796226415094345
436,1.6067,2.7807,53.673584905660384
437,1.5872,2.7611999999999997,53.30566037735849
438,1.5587,2.7327,52.76792452830189
439,1.6519,2.8259,54.526415094339626
440,1.5817,2.7557,53.20188679245284
441,1.5782,2.7522,53.13584905660378
442,1.5205,2.6944999999999997,52.04716981132076
443,1.594,2.768,53.43396226415095
444,1.5593,2.7333,52.779245283018874
445,1.5327,2.7066999999999997,52.27735849056604
446,1.5704,2.7443999999999997,52.98867924528302
447,1.5682,2.7422,52.94716981132076
448,1.5804,2.7544,53.17735849056604
449,1.527,2.7009999999999996,52.16981132075472
450,1.5969,2.7709,53.48867924528303
451,1.608,2.782,53.69811320754718
452,1.6893,2.8632999999999997,55.23207547169812
453,1.6124,2.7864,53.7811320754717
454,1.544,2.718,52.49056603773585
455,1.5409,2.7149,52.43207547169812
456,1.5065,2.6805,51.78301886792453
